BDPA : DMPC : D2O    1:10:500	
94400	0
94380	0,1
94360	1
94340	2,4
94332	3,6
94328	4,8
94324	7,3
94320	9,8
94316	12
94312	10,3
94308	7
94304	6,5
94292	5,3
94280	4,3
94268	3,9
94256	4,4
94244	4,4
94232	5,3
94220	5,8
94212	7
94204	6,6
94196	6
94192	4,5
94188	1,9
94184	-0,7
94180	-3,2
94176	-5,5
94172	-6,8
94168	-6,8
94160	-6,3
94148	-5,7
94136	-4,7
94124	-4,1
94112	-3,65
94100	-3,9
94088	-3,7
94076	-4,1
94064	-5
94060	-6
94056	-7,1
94052	-7,8
94048	-11
94044	-10,1
94040	-7,3
94036	-5,4
94024	-2,3
94012	-1,4
93988	-0,8
93960	-0,3
