	BDPA
94408,3	-0,00511296392177945
94407,9	-2,37873606133078E-4
94407,5	9,79931921089325E-4
94407,1	3,33243026801974E-4
94406,7	5,70589448998076E-4
94406,3	-1,26338483115941E-4
94405,9	-2,5646702850314E-5
94405,5	7,92824875982877E-4
94405,1	-2,07438623550451E-4
94404,7	4,99914936453647E-4
94404,3	-1,91908827836182E-4
94403,9	-0,00122791416489983
94403,5	1,06312538132829E-4
94403,1	7,77713880771575E-4
94402,7	-9,59929699808313E-4
94402,3	0,00115641797070441
94401,9	-1,06329739096776E-4
94401,5	-8,07911143437803E-5
94401,1	-0,00158108098713161
94400,7	2,67466941591375E-4
94400,3	-4,54793535522291E-4
94399,9	-3,63692869433961E-4
94399,5	9,60996309923703E-5
94399,1	-1,01169410623413E-5
94398,7	4,99914936453647E-4
94398,3	-0,00115683258179347
94397,9	9,99754957944054E-4
94397,5	4,09223376505157E-4
94397,1	-3,38360663697293E-4
94396,7	6,81707162490477E-4
94396,3	7,62796590772909E-4
94395,9	-2,27446994380333E-4
94395,5	-2,37659901520803E-4
94395,1	8,38378851825015E-4
94394,7	-2,47463023995455E-4
94394,3	4,39454009575646E-4
94393,9	6,81707162490477E-4
94393,5	-9,95058760212635E-4
94393,1	-3,05444516581687E-5
94392,7	-0,00106634506602042
94392,3	9,56839177825446E-5
94391,9	3,13021595959483E-4
94391,5	2,87688372433865E-4
94391,1	4,54369603259394E-4
94390,7	-3,58378389627326E-4
94390,3	-1,71688754045622E-4
94389,9	0,00102016175668799
94389,5	4,49258828365218E-4
94389,1	2,99168144828124E-5
94388,7	2,82790284363023E-4
94388,3	4,03917539346402E-4
94387,9	7,02132976771397E-4
94387,5	6,54529454490743E-5
94387,1	-3,23658096099859E-4
94386,7	9,13960773614142E-4
94386,3	8,43481323334288E-4
94385,9	-6,26576559331122E-4
94385,5	-4,5868472955785E-5
94385,1	7,52587076262286E-4
94384,7	0,00175755187136067
94384,3	-9,09059887107608E-4
94383,9	4,49881978380318E-4
94383,5	4,54573986697823E-4
94383,1	8,88822273090121E-4
94382,7	5,52404114978891E-5
94382,3	-4,29460651259654E-4
94381,9	-1,61680569606569E-4
94381,5	1,76775042379894E-4
94381,1	-1,3144925801011E-4
94380,7	8,05732618342226E-5
94380,3	-1,9252231741445E-4
94379,9	3,13021595959483E-4
94379,5	-5,96141882085182E-4
94379,1	-2,52575155941561E-4
94378,7	-8,93949231159288E-4
94378,3	-0,00128326465614664
94377,9	-1,36550711730433E-4
94377,5	-8,99264389491882E-4
94377,1	6,76605030244184E-4
94376,7	-5,86133019120161E-4
94376,3	8,89034281387485E-4
94375,9	6,1572703310443E-4
94375,5	2,22125313309581E-4
94375,1	-6,26780942769552E-4
94374,7	-1,61680569606569E-4
94374,3	3,99212817225226E-4
94373,9	-5,91031107191005E-4
94373,5	1,00590987764263E-4
94373,1	0,0011619261557237
94372,7	-2,42362927327062E-4
94372,3	5,80803034664506E-4
94371,9	9,79718555740022E-4
94371,5	-0,00115703628670592
94371,1	0,00121728732519629
94370,7	0,0018131153886938
94370,3	-0,0011719428984788
94369,9	-2,52575155941561E-4
94369,5	-5,30569501787047E-4
94369,1	0,00106591909817962
94368,7	0,00120215802690026
94368,3	2,27226767029895E-4
94367,9	4,03334265357314E-5
94367,5	1,56145183923534E-4
94367,1	7,88129475035545E-4
94366,7	-7,98155538964503E-4
94366,3	-4,59488936469623E-4
94365,9	-6,01244014331463E-4
94365,5	2,99168144828124E-5
94365,1	-7,09879918691297E-5
94364,7	7,52587076262286E-4
94364,3	5,09923799418667E-4
94363,9	-1,87003454169383E-4
94363,5	-4,19247065593236E-4
94363,1	6,71494255350016E-4
94362,7	7,01928932595957E-4
94362,3	-6,11252877296485E-4
94361,9	0,00114660383074099
94361,5	6,51272485244538E-4
94361,1	3,78584655083777E-4
94360,7	1,99079515178018E-5
94360,3	8,2815730203667E-4
94359,9	-2,5298392281842E-4
94359,5	-2,93223418853922E-4
94359,1	-0,0015861831193779
94358,7	4,64786893838282E-4
94358,3	1,21220846220621E-4
